지역명,자치구명,건물용도,거래유형,면적구간,거래건수,신뢰등급,출처,매매가,매매가_25,매매가_75,보증금,보증금_25,보증금_75,월임대료,면적_중앙값,행정동ID_8자리
개포2동,강남구,단독다가구,전세,135㎡초과,12,보통,자치구,,,,35200.0,28750.0,55750.0,,173.1,11230800
개포2동,강남구,아파트,전세,20㎡이하,30,높음,자치구,,,,19823.0,18225.0,30000.0,,18.1,11230800
개포2동,강남구,아파트,전세,20-40㎡,150,높음,법정동,,,,40000.0,36712.5,45000.0,,39.5,11230800
개포2동,강남구,아파트,전세,40-60㎡,106,높음,해당지역,,,,90000.0,45878.8,110250.0,,59.8,11230800
개포2동,강남구,아파트,전세,60-85㎡,214,높음,해당지역,,,,136500.0,56631.2,150000.0,,84.4,11230800
개포2동,강남구,아파트,전세,85-135㎡,44,높음,해당지역,,,,176750.0,162625.0,210000.0,,103.3,11230800
개포2동,강남구,아파트,전세,135㎡초과,29,보통,법정동,,,,125000.0,110250.0,130000.0,,165.1,11230800
개포2동,강남구,연립다세대,전세,20㎡이하,116,높음,자치구,,,,16000.0,14000.0,20000.0,,17.6,11230800
개포2동,강남구,연립다세대,전세,20-40㎡,19,보통,해당지역,,,,28000.0,23000.0,36250.0,,31.1,11230800
개포2동,강남구,연립다세대,전세,40-60㎡,96,높음,법정동,,,,35000.0,28563.8,41850.0,,48.6,11230800
개포2동,강남구,연립다세대,전세,60-85㎡,37,높음,법정동,,,,40700.0,36750.0,47000.0,,68.5,11230800
개포2동,강남구,연립다세대,전세,85-135㎡,51,높음,자치구,,,,65000.0,52500.0,80000.0,,105.8,11230800
개포2동,강남구,연립다세대,전세,135㎡초과,18,보통,자치구,,,,105000.0,84887.5,135000.0,,176.2,11230800
개포2동,강남구,오피스텔,전세,20㎡이하,69,높음,자치구,,,,21000.0,18600.0,23000.0,,17.6,11230800
개포2동,강남구,오피스텔,전세,20-40㎡,26,보통,법정동,,,,19650.0,19000.0,21750.0,,31.9,11230800
개포2동,강남구,오피스텔,전세,40-60㎡,86,높음,자치구,,,,37962.5,34140.0,45000.0,,47.6,11230800
개포2동,강남구,오피스텔,전세,60-85㎡,17,보통,자치구,,,,68000.0,55600.0,73000.0,,74.8,11230800
개포2동,강남구,오피스텔,전세,85-135㎡,10,보통,자치구,,,,106000.0,74625.0,132562.5,,107.0,11230800
개포3동,강남구,단독다가구,매매,135㎡초과,33,높음,자치구,425000.0,315000.0,725000.0,,,,,292.2,11230511
개포3동,강남구,아파트,매매,20-40㎡,49,높음,해당지역,170000.0,153000.0,175000.0,,,,,39.5,11230511
개포3동,강남구,아파트,매매,40-60㎡,24,보통,해당지역,205500.0,201500.0,216250.0,,,,,50.5,11230511
개포3동,강남구,아파트,매매,60-85㎡,14,보통,해당지역,294500.0,276250.0,302250.0,,,,,83.2,11230511
개포3동,강남구,아파트,매매,85-135㎡,53,높음,법정동,390000.0,306000.0,430000.0,,,,,108.1,11230511
개포3동,강남구,아파트,매매,135㎡초과,197,높음,자치구,520000.0,367500.0,750000.0,,,,,163.7,11230511
